Country,number_of_visas
Albania,4
Argentina,21
Cambodia,5
Canada,14
China - mainland born,2509
Colombia,18
Costa Rica,6
Egypt,18
Eritrea,2
Estonia,1
Fiji,2
France,7
Germany,11
Great Britain and Northern Ireland,19
Guyana,7
Hong Kong S.A.R.,81
India,353
Indonesia,10
Iran,8
Israel,1
Italy,1
Japan,9
Jordan,2
Kenya,4
"Korea, North",3
"Korea, South",203
Liberia,6
Malaysia,4
Mexico,10
Moldova,1
Pakistan,30
Peru,6
Philippines,8
Qatar,2
Russia,3
Saudi Arabia,14
Singapore,16
South Africa,59
Spain,6
Taiwan,320
Thailand,10
Turkey,27
Ukraine,3
United Arab Emirates,4
Venezuela,11
Vietnam,742
Yemen,2
Zambia,4
Zimbabwe,1
Grand Total,4608
Source: IIUSA,0
